# Columns are A - Z and rows are A-Z. Cell is count of occurrences of bigram RowCol, i.e. cell at (1,2) is the count of occurrences of AB
# Data extracted from http://norvig.com/mayzner.html
79794787 4122472992 15174413181 4259590348 19403941063 4624241031 4175274057 26103411208 8072199471 729206855 478095427 14874551789 15938689768 9790855551 1620913259 9123652775 4298294 19332539912 6147356936 14941000711 3844138094 3946966167 10865206430 834649781 444542870 702199296 
6479202253 308276690 17751935 78190243 763383542 7730842 13944852 123778334 2780268452 2126115 25406204 188643782 2544901434 122258836 2725791138 36901495 1083443 753194669 223212317 71746167 2497666762 2496014 29929113 2164724 121220723 5858211 
12625666388 53278096 2344219345 71030077 13457763533 16254390 6455066 34631551 19701195496 3447571 6326022 333338045 121591374 11722631112 4692062395 33156666 1127399 3422694015 4363410770 736955048 5291161134 6570845 19008254 746076293 380670476 2100797 
10375130449 69761165 62905910 1205446875 32937140633 13966832 89087728 80544316 8332214014 2615147 18894758 7122648226 18929019 38129777631 5511014957 33798376 519921 5338083783 148275222 36539510 2577213760 8430332 99767462 168263 192245315 1415016 
349540062 16249257887 18367773425 21565300071 10647199443 6670566518 10861045622 86697336727 10845731320 1463052212 6027536039 23382173640 22360109325 19504235770 1089254517 13477683504 572443 52285662239 26282488562 33973261529 4158448570 23270129573 10176141608 614533122 2612941418 1402290616 
2092395523 4108696 39704311 78347492 4588497002 4125634219 33962536 63249924 5731148470 2421784 44759608 1507867867 107664447 1894270041 33130341561 41022263 947879 909634941 483979931 159626603 522547858 1550317 45330551 52374239 21246637 608389 
5772552144 7203255 24975673 874188188 3370515965 14424524 697999944 7789748 7189051323 1034900 72267691 171657388 34537023 26871805511 2651165734 13354952 0 2813274913 69588685 55522877 3606562400 2960268 2751783 542548 73102462 4726653 
384694919 29797934 16854985236 153344431 742240059 5166165 6414827751 14730425 58966344 3541869 89811517 45643026 15033898 306883963 602121281 2661480326 263509 426095630 8888705287 100272945963 30097154 2691078 10680697684 117618666 14682887 18782710 
8922759715 3005679357 7936922442 13899990598 5169898489 8024355222 4275639800 21520845924 642384029 77899882 2759841743 17604626629 8957825538 9564648232 2474275212 3470838749 8954617 20516398905 15509759748 37856196209 2852182384 7600241898 10557401491 1111463633 812619095 341671190 
331384552 654853039 2962048 134832736 128194584 2065436 1093028 1282370 31324465 2979950 3471162 3169833 2923325 312598990 196696657 2810773 236928 15598009 7621847 3169658 14548024 724370 914179 511074 561334 309029 
2952167845 2639491 3316660134 9494027 464449289 3293208 7338894 6595610 1209994695 1740133 12782664 555883002 3956883 1455100124 1813376076 23099462 0 2736041446 1112771273 13081991 129819900 337545 30095733 281255 9292584 906537 
